Croco diel,Identified Proteins (1170),Accession Number,Molecular Weight,Protein Grouping Ambiguity,151222_WH8501diel_T1_2ug,151222_WH8501diel_T2_2ug,151222_WH8501diel_T3_2ug,151222_WH8501diel_T4_2ug,151222_WH8501diel_T5_2ug,151222_WH8501diel_T6_2ug,151222_WH8501diel_T7_2ug,151222_WH8501diel_T8_2ug,151222_WH8501diel_T9_2ug,151222_WH8501diel_T10_2ug,151222_WH8501diel_T11_2ug,151222_WH8501diel_T12_2ug,151222_WH8501diel_T13_2ug,151222_WH8501diel_T14_2ug,151222_WH8501diel_T15_2ug,151222_WH8501diel_T16_2ug
259,ZP_00515343 CwatDRAFT_4815 L-asparaginase II [Crocosphaera watsonii WH 8501],638430583,35 kDa,,15.426,14.204,16.023,16.179,24.614,26.963,28.009,27.855,30.549,17.637,37.202,9.1022,12.555,12.566,19.995,17.014
260,"ZP_00516867 CwatDRAFT_3291 AAA ATPase, central region [Crocosphaera watsonii WH 8501]",638432146,57 kDa,,38.566,43.56,36.052,36.403,19.881,19.773,14.004,13.927,21.821,9.9209,11.515,3.901,5.7069,8.3776,6.6649,7.0056
261,ZP_00515337 CwatDRAFT_4808 IMP dehydrogenase related 2 [Crocosphaera watsonii WH 8501],638430593,40 kDa,,36.638,26.515,27.039,25.28,38.814,39.546,28.009,39.925,40.368,36.377,50.489,27.307,38.807,42.935,35.229,30.024
262,"ZP_00517038 CwatDRAFT_2404 Ribosomal protein L13, bacterial and organelle form [Crocosphaera watsonii WH 8501]",638432317,18 kDa,,22.175,25.568,19.028,18.202,23.667,21.571,19.606,26.926,32.731,35.274,25.687,18.204,25.11,21.991,22.851,27.022
263,ZP_00514246 CwatDRAFT_5260 3-isopropylmalate dehydrogenase [Crocosphaera watsonii WH 8501],638429505,39 kDa,,37.602,23.674,16.023,18.202,23.667,17.077,17.739,14.856,21.821,19.842,36.317,16.904,21.686,18.85,21.899,25.02
264,ZP_00514504 CwatDRAFT_5426 conserved hypothetical protein [Crocosphaera watsonii WH 8501],638429764,46 kDa,,31.817,39.772,42.061,47.527,52.068,50.332,44.814,34.354,28.367,37.479,18.601,48.112,43.372,47.124,32.372,24.019
265,ZP_00517787 CwatDRAFT_1495 Argininosuccinate lyase [Crocosphaera watsonii WH 8501],638433063,52 kDa,,33.745,34.09,32.046,30.336,29.347,27.862,28.009,16.713,31.64,25.353,31.888,14.304,28.534,28.274,29.516,33.027
266,ZP_00519282 CwatDRAFT_0118 RecA bacterial DNA recombination protein [Crocosphaera watsonii WH 8501],638434572,38 kDa,,57.849,52.083,45.065,37.415,39.761,26.963,23.341,19.498,29.458,19.842,27.459,20.805,29.676,39.794,31.42,51.041
267,"ZP_00515670 CwatDRAFT_4401 Peptidase S9, prolyl oligopeptidase active site region [Crocosphaera watsonii WH 8501]",638430938,72 kDa,,27.96,27.462,33.048,45.504,41.654,40.445,28.009,37.139,31.64,19.842,21.258,2.6006,12.555,10.472,8.5692,5.004
268,"ZP_00513564 CwatDRAFT_6729 Photosystem I reaction center protein PsaF, subunit III [Crocosphaera watsonii WH 8501]",638428818,18 kDa,,33.745,32.196,39.057,31.347,33.134,37.749,31.743,24.141,31.64,36.377,45.174,58.514,52.503,56.549,55.224,54.043
269,ZP_00515792 CwatDRAFT_4186 Ribonuclease E and G [Crocosphaera watsonii WH 8501],638431081,76 kDa,,26.996,25.568,29.042,28.314,26.507,27.862,27.075,27.855,24.003,29.763,41.631,10.403,18.262,15.708,25.708,22.018
270,ZP_00514156 CwatDRAFT_6423 conserved hypothetical protein [Crocosphaera watsonii WH 8501],638429414,91 kDa,,29.889,27.462,39.057,43.482,38.814,31.457,34.544,28.783,39.277,22.046,6.2004,23.406,19.403,13.614,16.186,18.014
271,ZP_00515449 CwatDRAFT_4517 Uroporphyrinogen decarboxylase HemE [Crocosphaera watsonii WH 8501],638430754,39 kDa,,32.781,22.727,18.026,12.134,9.4669,10.785,8.4026,19.498,32.731,40.786,59.347,16.904,37.665,31.416,16.186,15.012
272,ZP_00517282 CwatDRAFT_3165 Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen [Crocosphaera watsonii WH 8501],638432570,22 kDa,,29.889,31.25,27.039,29.325,38.814,37.749,38.279,35.282,36.004,34.172,37.202,45.511,36.524,38.746,48.559,55.044
273,ZP_00515556 CwatDRAFT_4636 DNA topoisomerase I [Crocosphaera watsonii WH 8501],638430715,98 kDa,,3.8566,5.6817,3.0044,4.0448,6.6268,7.1902,14.004,16.713,25.094,18.739,37.202,2.6006,10.272,4.1888,1.9043,1.0008
274,ZP_00518122 CwatDRAFT_1283 Pyruvate dehydrogenase (lipoamide) [Crocosphaera watsonii WH 8501],638433410,38 kDa,,30.853,26.515,28.041,25.28,34.081,27.862,29.876,38.068,44.732,39.684,39.86,19.505,23.969,23.038,23.803,18.014
275,"ZP_00516080 CwatDRAFT_3913 Glycyl-tRNA synthetase, beta subunit [Crocosphaera watsonii WH 8501]",638431361,81 kDa,,27.96,28.409,22.032,25.28,19.881,24.267,31.743,21.355,25.094,15.432,17.715,5.2013,17.121,12.566,5.7128,3.0024
276,ZP_00516483 CwatDRAFT_3245 Glutamyl-tRNA(Gln) amidotransferase A subunit [Crocosphaera watsonii WH 8501],638431763,52 kDa,,40.494,41.666,34.049,42.471,36.921,32.356,28.942,29.712,45.823,26.456,28.345,15.604,27.393,31.416,13.33,22.018
277,ZP_00517677 CwatDRAFT_1947 Nucleotidyl transferase [Crocosphaera watsonii WH 8501],638432958,43 kDa,,44.351,37.878,39.057,35.392,26.507,26.065,24.274,33.425,28.367,22.046,33.659,10.403,29.676,28.274,32.372,35.028
278,ZP_00515833 CwatDRAFT_4231 Protein of unknown function DUF541 [Crocosphaera watsonii WH 8501],638431040,26 kDa,,26.996,33.143,40.058,39.437,36.921,37.749,29.876,37.139,37.095,38.581,19.487,46.812,33.1,29.322,31.42,35.028
279,"ZP_00517099 CwatDRAFT_2650 Glycosyl transferase, family 9 [Crocosphaera watsonii WH 8501]",638432383,38 kDa,,33.745,35.037,35.051,39.437,58.695,52.129,50.416,47.353,37.095,40.786,62.89,20.805,29.676,36.652,37.133,34.027
280,"ZP_00514764 CwatDRAFT_5572 Aminotransferase, class I and II [Crocosphaera watsonii WH 8501]",638430026,46 kDa,,31.817,37.878,44.064,34.381,24.614,27.862,27.075,31.569,20.73,17.637,10.629,14.304,21.686,23.038,23.803,20.016
281,"ZP_00518188 CwatDRAFT_1711 Seryl-tRNA synthetase, class IIa [Crocosphaera watsonii WH 8501]",638433477,48 kDa,,31.817,28.409,27.039,21.235,25.561,26.065,34.544,20.427,30.549,22.046,26.573,14.304,26.252,23.038,26.66,29.023
282,ZP_00518640 CwatDRAFT_0966 Peptidase M41 [Crocosphaera watsonii WH 8501],638433927,18 kDa,,27.96,45.454,30.044,24.269,40.708,40.445,34.544,43.639,31.64,29.763,39.86,26.006,35.383,41.888,48.559,50.04
283,ZP_00516607 CwatDRAFT_3426 Conserved hypothetical protein 92:GTP-binding [Crocosphaera watsonii WH 8501],638431900,39 kDa,,26.032,28.409,26.038,23.258,25.561,35.951,27.075,33.425,36.004,26.456,44.289,20.805,12.555,19.897,19.043,13.01
284,ZP_00513894 CwatDRAFT_6560 Pyruvate kinase [Crocosphaera watsonii WH 8501],638429149,64 kDa,,42.423,27.462,23.033,23.258,24.614,22.469,22.407,23.212,32.731,15.432,17.715,9.1022,19.403,19.897,19.995,22.018
285,ZP_00516811 CwatDRAFT_2494 Dihydrolipoamide dehydrogenase [Crocosphaera watsonii WH 8501],638432086,51 kDa,,29.889,26.515,22.032,19.213,15.147,12.583,10.27,14.856,27.276,25.353,31.888,18.204,30.817,31.416,23.803,23.019
286,"ZP_00519237 CwatDRAFT_0193 Allophycocyanin, beta subunit [Crocosphaera watsonii WH 8501]",638434526,17 kDa,1,42.423,45.454,39.057,35.392,37.868,29.66,30.81,31.569,22.912,38.581,44.289,54.613,45.655,54.454,51.415,37.03
287,ZP_00514294 CwatDRAFT_5939 Thiamine biosynthesis protein ThiC [Crocosphaera watsonii WH 8501],638429553,51 kDa,,12.534,10.417,5.0073,16.179,21.774,22.469,17.739,23.212,33.822,47.4,43.403,33.808,31.958,26.18,17.138,6.0048
288,ZP_00515384 CwatDRAFT_4859 Heme oxygenase (decyclizing) [Crocosphaera watsonii WH 8501],638430495,27 kDa,1,52.064,21.78,12.017,4.0448,0.94669,1.7976,6.5354,12.07,29.458,30.865,40.745,44.211,46.796,53.407,52.367,44.035
289,ZP_00518644 CwatDRAFT_0970 Pyruvate decarboxylase:Pyruvate decarboxylase [Crocosphaera watsonii WH 8501],638433931,60 kDa,,32.781,33.143,26.038,24.269,29.347,32.356,27.075,27.855,27.276,22.046,25.687,15.604,23.969,19.897,16.186,21.017
290,ZP_00517027 CwatDRAFT_2393 Ribosomal protein L18 [Crocosphaera watsonii WH 8501],638432306,13 kDa,,17.355,21.78,20.029,18.202,24.614,24.267,30.81,29.712,17.456,22.046,29.23,20.805,18.262,23.038,32.372,35.028
291,ZP_00513550 CwatDRAFT_6015 Beta-ketoacyl synthase:Beta-ketoacyl synthase [Crocosphaera watsonii WH 8501],638428804,44 kDa,,24.104,21.78,20.029,20.224,22.721,25.166,24.274,23.212,26.185,31.967,32.774,33.808,39.948,30.369,24.755,17.014
292,ZP_00516553 CwatDRAFT_3336 similar to Nucleoside-diphosphate-sugar epimerases [Crocosphaera watsonii WH 8501],638431846,28 kDa,,47.243,40.719,31.045,28.314,29.347,28.761,26.142,36.211,25.094,25.353,31.002,15.604,39.948,31.416,42.846,32.026
293,ZP_00517648 CwatDRAFT_2024 similar to Zn-dependent proteases and their inactivated homologs [Crocosphaera watsonii WH 8501],638432918,50 kDa,,43.387,43.56,36.052,39.437,20.827,19.773,22.407,28.783,29.458,25.353,27.459,18.204,41.089,40.841,42.846,53.043
294,ZP_00518453 CwatDRAFT_0607 hypothetical protein [Crocosphaera watsonii WH 8501],638433738,45 kDa,,25.068,23.674,28.041,25.28,15.147,17.976,16.805,9.2849,14.183,16.535,21.258,13.003,25.11,21.991,22.851,23.019
295,ZP_00515869 CwatDRAFT_4095 Peroxidase [Crocosphaera watsonii WH 8501],638431144,24 kDa,,35.674,32.196,19.028,19.213,18.934,17.976,23.341,39.925,28.367,35.274,56.689,40.31,26.252,37.699,51.415,36.029
296,ZP_00516665 CwatDRAFT_2741 Glucokinase regulatory-like protein [Crocosphaera watsonii WH 8501],638431944,32 kDa,,32.781,38.825,38.055,43.482,36.921,43.141,42.947,43.639,50.187,39.684,39.86,29.907,33.1,36.652,30.468,36.029
297,ZP_00518685 CwatDRAFT_1298 Outer membrane efflux protein [Crocosphaera watsonii WH 8501],638433970,62 kDa,,31.817,37.878,29.042,29.325,21.774,23.368,21.473,25.998,19.639,25.353,7.0862,24.706,22.827,30.369,19.043,16.013
298,"ZP_00514444 CwatDRAFT_5864 Class II aldolase/adducin, N-terminal:Short-chain dehydrogenase/reductase SDR [Crocosphaera watsonii WH 8501]",638429704,72 kDa,,14.462,11.363,4.0058,10.112,6.6268,9.8866,10.27,5.5709,16.365,11.023,17.715,0,5.7069,7.3304,7.6171,5.004
299,"ZP_00516025 CwatDRAFT_3932 phenylalanyl-tRNA synthetase, beta subunit [Crocosphaera watsonii WH 8501]",638431293,90 kDa,,19.283,14.204,14.02,10.112,15.147,17.077,14.938,15.784,19.639,15.432,21.258,5.2013,9.131,13.614,7.6171,9.0072
300,"ZP_00518552 CwatDRAFT_1454 Phospho-2-dehydro-3-deoxyheptonate aldolase, subtype 2 [Crocosphaera watsonii WH 8501]",638433837,38 kDa,,14.462,11.363,21.03,28.314,29.347,34.154,28.009,37.139,37.095,52.911,82.377,53.313,44.514,39.794,20.947,8.0064
301,ZP_00515819 CwatDRAFT_4216 similar to Nucleoside-diphosphate-sugar epimerases [Crocosphaera watsonii WH 8501],638431074,35 kDa,,36.638,40.719,28.041,27.303,33.134,26.963,28.009,26.926,29.458,19.842,21.258,22.105,31.958,38.746,33.325,24.019
302,ZP_00514858 CwatDRAFT_5612 Macrophage migration inhibitory factor [Crocosphaera watsonii WH 8501],638430120,13 kDa,,37.602,41.666,45.065,47.527,33.134,35.052,39.212,37.139,22.912,38.581,17.715,58.514,37.665,47.124,36.181,24.019
303,ZP_00514342 CwatDRAFT_5914 Methyltransferase FkbM [Crocosphaera watsonii WH 8501],638429601,44 kDa,,30.853,29.356,27.039,19.213,12.307,8.9878,8.4026,5.5709,7.6372,14.33,9.7435,15.604,21.686,26.18,27.612,31.025
304,ZP_00518972 CwatDRAFT_0537 Rhodanese-like [Crocosphaera watsonii WH 8501],638434263,17 kDa,,33.745,36.931,38.055,39.437,41.654,42.243,42.013,41.782,46.914,41.888,38.974,46.812,45.655,46.077,45.702,45.036
305,ZP_00516768 CwatDRAFT_2868 hypothetical protein [Crocosphaera watsonii WH 8501],638432054,78 kDa,,0,0,27.039,91.008,78.575,53.028,26.142,17.641,6.5462,0,0,0,0,0,0.95213,0
306,"ZP_00519191 CwatDRAFT_0476 Cytoplasmic peptidoglycan synthetase, N-terminal:ATP-dependent carboxylate-amine ligase-like, ATP-grasp:Cytoplasmic peptidoglycan synthetases, C-terminal [Crocosphaera watsonii WH 8501]",638434479,95 kDa,,30.853,26.515,22.032,28.314,17.987,12.583,22.407,18.57,26.185,26.456,34.545,7.8019,22.827,18.85,15.234,12.01
307,ZP_00517772 CwatDRAFT_2138 Peptidylprolyl isomerase [Crocosphaera watsonii WH 8501],638433045,19 kDa,,42.423,38.825,34.049,31.347,30.294,24.267,28.942,36.211,27.276,31.967,26.573,50.713,33.1,34.558,49.511,44.035
308,ZP_00515326 CwatDRAFT_4797 Single-stranded nucleic acid binding R3H [Crocosphaera watsonii WH 8501],638430613,19 kDa,,43.387,31.25,29.042,27.303,14.2,14.38,23.341,25.069,18.547,19.842,16.83,28.607,14.838,26.18,17.138,13.01
309,"ZP_00516937 CwatDRAFT_2952 ClpX, ATPase regulatory subunit [Crocosphaera watsonii WH 8501]",638432223,49 kDa,,17.355,13.257,10.015,13.146,17.04,24.267,21.473,13.927,14.183,19.842,54.032,14.304,20.545,21.991,12.378,15.012
310,ZP_00514260 CwatDRAFT_5269 PDZ/DHR/GLGF:Peptidase M61 [Crocosphaera watsonii WH 8501],638429519,69 kDa,,25.068,21.78,18.026,31.347,28.401,28.761,34.544,25.998,24.003,18.739,32.774,3.901,17.121,15.708,10.473,7.0056
311,ZP_00517017 CwatDRAFT_3044 Phosphoglucomutase/phosphomannomutase C terminal:Phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain I:Phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain II:Phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain III [Crocosphaera watsonii WH 8501],638432288,53 kDa,,31.817,33.143,26.038,18.202,20.827,18.874,13.071,14.856,16.365,15.432,37.202,18.204,27.393,24.086,30.468,34.027
312,"ZP_00515150 CwatDRAFT_5022 AAA ATPase, central region:Clp, N terminal:Clp, N terminal [Crocosphaera watsonii WH 8501]",638430415,101 kDa,1,35.674,32.196,34.049,29.325,32.187,35.951,31.743,27.855,34.913,24.251,26.573,41.61,35.383,38.746,37.133,47.038
313,ZP_00516731 CwatDRAFT_2854 Phycobilisome linker polypeptide [Crocosphaera watsonii WH 8501],638431995,40 kDa,,23.14,21.78,16.023,21.235,22.721,24.267,17.739,18.57,18.547,18.739,46.06,14.304,20.545,24.086,21.899,25.02
314,ZP_00513966 CwatDRAFT_6519 S-layer homology region [Crocosphaera watsonii WH 8501],638429223,25 kDa,,63.634,55.87,28.041,0,0,0,0,0,0,0,0,0,25.11,112.05,120.92,89.072
315,"ZP_00517957 CwatDRAFT_1933 NAD(P) transhydrogenase, beta subunit [Crocosphaera watsonii WH 8501]",638433233,50 kDa,,0.96415,0,19.028,41.459,41.654,50.332,67.221,67.779,69.826,63.935,52.26,16.904,0,0,0,0
316,"ZP_00514599 CwatDRAFT_5475 Tryptophanyl-tRNA synthetase, class Ib [Crocosphaera watsonii WH 8501]",638429860,43 kDa,,15.426,11.363,5.0073,9.1008,8.5202,15.279,10.27,7.4279,5.4551,2.2046,11.515,3.901,6.8482,10.472,12.378,6.0048
317,"ZP_00517059 CwatDRAFT_2443 Ribosomal protein S19, bacterial and organelle form [Crocosphaera watsonii WH 8501]",638432349,10 kDa,,36.638,49.242,54.078,43.482,41.654,38.647,44.814,60.352,38.186,46.298,16.83,22.105,21.686,27.227,39.037,21.017
318,ZP_00518225 CwatDRAFT_1057 Thioredoxin [Crocosphaera watsonii WH 8501],638433511,12 kDa,,30.853,29.356,30.044,34.381,32.187,30.558,32.677,37.139,27.276,41.888,24.802,53.313,30.817,41.888,44.75,42.034
319,ZP_00516539 CwatDRAFT_3416 Substrate-binding region of ABC-type glycine betaine transport system [Crocosphaera watsonii WH 8501],638431802,39 kDa,,35.674,43.56,44.064,48.538,34.081,37.749,40.146,34.354,26.185,24.251,12.401,33.808,29.676,26.18,28.564,34.027
320,"ZP_00514090 CwatDRAFT_6453 Response regulator receiver:Transcriptional regulatory protein, C-terminal [Crocosphaera watsonii WH 8501]",638429347,28 kDa,,48.207,52.083,58.084,43.482,61.535,37.749,16.805,0.92849,0,5.5116,7.0862,13.003,14.838,21.991,45.702,61.049
321,ZP_00517347 CwatDRAFT_2596 ABC transporter [Crocosphaera watsonii WH 8501],638432612,76 kDa,,32.781,35.037,37.054,40.448,35.028,36.85,35.478,28.783,29.458,33.07,30.116,14.304,22.827,17.802,19.995,27.022
322,"ZP_00518684 CwatDRAFT_1297 Glycosyl transferase, group 1 [Crocosphaera watsonii WH 8501]",638433971,67 kDa,,26.996,33.143,34.049,25.28,27.454,20.672,22.407,21.355,22.912,19.842,16.83,15.604,30.817,13.614,9.5213,17.014
323,"ZP_00519407 CwatDRAFT_0006 AAA ATPase, central region:Peptidase M41, FtsH extracellular [Crocosphaera watsonii WH 8501]",638434698,39 kDa,1,63.634,60.605,42.061,48.538,39.761,40.445,35.478,25.069,41.459,30.865,34.545,23.406,38.807,32.463,29.516,35.028
324,ZP_00517062 CwatDRAFT_2446 Ribosomal protein L16 [Crocosphaera watsonii WH 8501],638432352,16 kDa,,14.462,16.098,15.022,18.202,25.561,18.874,19.606,24.141,24.003,29.763,42.517,20.805,21.686,21.991,29.516,39.031
325,ZP_00513675 CwatDRAFT_6673 ABC transporter [Crocosphaera watsonii WH 8501],638428930,37 kDa,,29.889,37.878,37.054,38.426,43.548,47.635,46.681,39.925,40.368,24.251,25.687,19.505,29.676,25.133,33.325,30.024
326,"ZP_00518814 CwatDRAFT_0783 1,4-alpha-glucan branching enzyme [Crocosphaera watsonii WH 8501]",638434103,90 kDa,1,23.14,21.78,20.029,29.325,22.721,25.166,20.54,19.498,18.547,18.739,16.83,9.1022,14.838,11.519,9.5213,10.008
327,ZP_00514631 CwatDRAFT_5496 Periplasmic solute binding protein [Crocosphaera watsonii WH 8501],638429893,40 kDa,,28.924,30.303,30.044,36.403,35.974,32.356,22.407,16.713,13.092,14.33,13.287,49.412,41.089,40.841,20.947,14.011
328,ZP_00516924 CwatDRAFT_2936 Cytochrome f [Crocosphaera watsonii WH 8501],638432201,34 kDa,,46.279,43.56,39.057,37.415,22.721,19.773,20.54,18.57,16.365,25.353,45.174,37.709,42.231,52.36,50.463,42.034
329,ZP_00514074 CwatDRAFT_6464 Protein splicing (intein) site [Crocosphaera watsonii WH 8501],638429331,126 kDa,,9.6415,6.6287,8.0116,6.0672,8.5202,8.9878,7.469,0.92849,3.2731,1.1023,2.6573,0,1.1414,2.0944,2.8564,3.0024
330,ZP_00518838 CwatDRAFT_0975 Chaperonin Cpn10 [Crocosphaera watsonii WH 8501],638434129,11 kDa,,23.14,30.303,37.054,33.37,40.708,42.243,39.212,51.995,39.277,37.479,28.345,57.214,37.665,43.982,53.319,46.037
331,ZP_00514566 CwatDRAFT_5799 DRTGG [Crocosphaera watsonii WH 8501],638429827,39 kDa,,36.638,25.568,17.025,31.347,18.934,21.571,34.544,27.855,30.549,28.66,28.345,11.703,22.827,21.991,25.708,31.025
332,ZP_00516393 CwatDRAFT_3825 Protein of unknown function DUF269 [Crocosphaera watsonii WH 8501],638431676,18 kDa,,5.7849,3.7878,2.0029,5.056,18.934,36.85,59.752,59.423,68.735,65.037,63.775,65.016,50.22,21.991,11.426,2.0016
333,"ZP_00517977 CwatDRAFT_1329 Transketolase, N terminal [Crocosphaera watsonii WH 8501]",638433264,31 kDa,,24.104,17.992,19.028,17.19,12.307,16.178,15.872,12.999,15.274,16.535,26.573,23.406,45.655,50.265,32.372,35.028
334,ZP_00515412 CwatDRAFT_4475 Phosphoribosylformylglycinamidine synthase II [Crocosphaera watsonii WH 8501],638430690,83 kDa,,20.247,17.992,11.016,13.146,14.2,10.785,9.3363,8.3564,8.7282,5.5116,19.487,14.304,15.979,15.708,8.5692,9.0072
335,ZP_00517134 CwatDRAFT_2545 hypothetical protein [Crocosphaera watsonii WH 8501],638432413,134 kDa,1,5.7849,3.7878,5.0073,1.0112,2.8401,0.89878,0.93363,0.92849,1.091,2.2046,7.9719,0,4.5655,0,3.8085,2.0016
336,ZP_00516953 CwatDRAFT_2815 hypothetical protein [Crocosphaera watsonii WH 8501],638432240,30 kDa,,30.853,32.196,29.042,25.28,35.028,37.749,33.611,30.64,26.185,29.763,33.659,33.808,37.665,29.322,39.99,44.035
337,ZP_00516600 CwatDRAFT_3517 Band 7 protein [Crocosphaera watsonii WH 8501],638431858,77 kDa,,20.247,33.143,21.03,26.291,25.561,17.077,17.739,13.927,25.094,15.432,16.83,7.8019,11.414,13.614,10.473,12.01
338,"ZP_00514000 CwatDRAFT_6286 H+-transporting two-sector ATPase, B/B' subunit [Crocosphaera watsonii WH 8501]",638429257,16 kDa,,38.566,25.568,30.044,30.336,26.507,28.761,20.54,26.926,26.185,28.66,31.888,83.221,54.786,49.218,41.894,24.019
339,"ZP_00515167 CwatDRAFT_5034 Arginyl-tRNA synthetase, class Ic [Crocosphaera watsonii WH 8501]",638430432,66 kDa,,26.996,14.204,9.0131,12.134,8.5202,12.583,12.137,8.3564,3.2731,14.33,22.144,1.3003,9.131,13.614,10.473,12.01
340,"ZP_00513936 CwatDRAFT_6238 NADH-plastoquinone oxidoreductase, subunit I:NADH-quinone oxidoreductase, chain I [Crocosphaera watsonii WH 8501]",638429191,23 kDa,,30.853,20.833,22.032,23.258,24.614,24.267,23.341,25.069,32.731,24.251,23.916,28.607,26.252,26.18,28.564,32.026
341,ZP_00515274 CwatDRAFT_4742 Antitermination protein NusB [Crocosphaera watsonii WH 8501],638430603,24 kDa,,38.566,37.878,39.057,28.314,32.187,35.951,41.08,34.354,27.276,34.172,20.373,24.706,26.252,39.794,28.564,31.025
342,ZP_00513865 CwatDRAFT_6208 Amino acid adenylation [Crocosphaera watsonii WH 8501],638429120,278 kDa,,1.9283,0.94696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,ZP_00517775 CwatDRAFT_1482 Ribosomal protein L1 [Crocosphaera watsonii WH 8501],638433057,11 kDa,,27.96,30.303,35.051,31.347,48.281,42.243,40.146,35.282,32.731,28.66,32.774,29.907,37.665,42.935,54.272,59.048
344,"ZP_00513652 CwatDRAFT_6074 Lysyl-tRNA synthetase, class-2 [Crocosphaera watsonii WH 8501]",638428906,65 kDa,,20.247,14.204,13.019,9.1008,16.094,16.178,12.137,14.856,20.73,13.228,7.9719,7.8019,6.8482,10.472,12.378,14.011
345,ZP_00518087 CwatDRAFT_1223 Photosystem I psaB [Crocosphaera watsonii WH 8501],638433372,82 kDa,,32.781,25.568,23.033,29.325,31.241,30.558,28.009,32.497,51.278,44.093,84.148,52.013,44.514,36.652,31.42,39.031
346,ZP_00517464 CwatDRAFT_2004 PAS [Crocosphaera watsonii WH 8501],638432737,123 kDa,,0.96415,1.8939,2.0029,1.0112,0.94669,3.5951,0.93363,0,0,2.2046,0,0,1.1414,0,0,1.0008
347,ZP_00516659 CwatDRAFT_2735 hypothetical protein [Crocosphaera watsonii WH 8501],638431935,62 kDa,,26.996,27.462,25.036,26.291,29.347,30.558,24.274,22.284,24.003,17.637,27.459,18.204,31.958,24.086,37.133,37.03
348,ZP_00514357 CwatDRAFT_5900 PAS:GGDEF [Crocosphaera watsonii WH 8501],638429616,104 kDa,,0,0,0,0,0,0,0,0,0,3.307,0,0,0,0,0,0
349,ZP_00516073 CwatDRAFT_3904 Glucose-inhibited division protein A subfamily [Crocosphaera watsonii WH 8501],638431355,71 kDa,,0,0,0,0,0,0,0,0,0,0,2.6573,0,0,0,0,0
350,"ZP_00514888 CwatDRAFT_5230 Alpha amylase, catalytic region [Crocosphaera watsonii WH 8501]",638430150,110 kDa,,4.8207,4.7348,5.0073,5.056,2.8401,7.1902,11.204,12.999,27.276,14.33,34.545,1.3003,25.11,8.3776,5.7128,7.0056
351,ZP_00517412 CwatDRAFT_2303 3-oxoacyl-(acyl-carrier-protein) reductase [Crocosphaera watsonii WH 8501],638432692,28 kDa,,42.423,40.719,34.049,39.437,23.667,27.862,26.142,24.141,19.639,12.126,32.774,14.304,21.686,30.369,41.894,43.035
352,ZP_00517024 CwatDRAFT_2390 Ribosomal protein L5:Ribosomal protein L5 [Crocosphaera watsonii WH 8501],638432303-DECOY,?,,2.8924,0.94696,6.0087,6.0672,4.7335,3.5951,2.8009,0.92849,5.4551,1.1023,2.6573,7.8019,5.7069,4.1888,5.7128,8.0064
353,ZP_00514545 CwatDRAFT_5816 Fumarylacetoacetate (FAA) hydrolase [Crocosphaera watsonii WH 8501],638429806,30 kDa,,26.996,32.196,36.052,28.314,25.561,28.761,31.743,28.783,15.274,24.251,21.258,23.406,33.1,31.416,36.181,36.029
354,ZP_00513804 CwatDRAFT_6606 Deoxyxylulose-5-phosphate synthase [Crocosphaera watsonii WH 8501],638429059,69 kDa,,39.53,35.984,17.025,19.213,12.307,8.9878,10.27,21.355,26.185,27.558,30.116,11.703,28.534,24.086,15.234,19.015
355,ZP_00517489 CwatDRAFT_2246 Photosystem II reaction center protein PsbP [Crocosphaera watsonii WH 8501],638432773,21 kDa,,32.781,33.143,29.042,27.303,20.827,15.279,16.805,28.783,22.912,19.842,11.515,11.703,11.414,19.897,29.516,24.019
356,"ZP_00516527 CwatDRAFT_3402 Glycosyl transferase, family 51:Penicillin-binding protein, transpeptidase [Crocosphaera watsonii WH 8501]",638431817,71 kDa,,12.534,14.204,9.0131,2.0224,3.7868,0.89878,0,0,1.091,0,0,0,5.7069,6.2832,12.378,12.01
357,"ZP_00516258 CwatDRAFT_3670 Glycoside hydrolase, family 15 [Crocosphaera watsonii WH 8501]",638431521,68 kDa,,14.462,10.417,8.0116,10.112,13.254,13.482,8.4026,6.4994,15.274,8.8186,22.144,0,5.7069,5.236,3.8085,5.004
358,ZP_00514436 CwatDRAFT_5867 FAD-dependent pyridine nucleotide-disulphide oxidoreductase [Crocosphaera watsonii WH 8501],638429696,51 kDa,,0,0,3.0044,34.381,44.494,73.7,60.686,56.638,38.186,22.046,3.5431,0,0,0,0,0
359,ZP_00514315 CwatDRAFT_5929 conserved hypothetical protein [Crocosphaera watsonii WH 8501],638429574,15 kDa,,56.885,68.181,73.106,45.504,17.987,7.1902,9.3363,17.641,16.365,17.637,3.5431,23.406,30.817,36.652,48.559,52.042
360,"ZP_00516316 CwatDRAFT_3526 Valyl-tRNA synthetase, class Ia [Crocosphaera watsonii WH 8501]",638431597,103 kDa,,26.996,20.833,12.017,17.19,8.5202,8.089,5.6018,6.4994,5.4551,2.2046,11.515,0,5.7069,7.3304,5.7128,7.0056
