croco diel 2015,Identified Proteins (1725),Accession Number,Molecular Weight,Protein Grouping Ambiguity,c02,c04,c06,c08,c10,c12,c14,c16,c18,c20,c22,c24
26,ZP_00514505 CwatDRAFT_5427 conserved hypothetical protein [Crocosphaera watsonii WH 8501],638429765,22 kDa,,121.98,67.487,45.468,110.9,200.19,71.079,47.453,41.075,180.91,180.41,56.3,29.586
27,ZP_00519222 CwatDRAFT_0331 Trigger factor [Crocosphaera watsonii WH 8501],638434511,55 kDa,,124.89,76.289,64.816,72.812,128.27,97.324,93.081,85.97,118.56,97.223,75.653,65.088
28,ZP_00515964 CwatDRAFT_4146 Glucose-6-phosphate isomerase [Crocosphaera watsonii WH 8501],638431232,58 kDa,,196.53,91.938,105.45,119.86,143.85,132.32,114.98,124.18,126.74,126.29,108.2,121.3
29,"ZP_00516753 CwatDRAFT_3318 Ketose-bisphosphate aldolase, class-II:Fructose-bisphosphate aldolase, class II, Calvin cycle subtype [Crocosphaera watsonii WH 8501]",638432032,39 kDa,,66.801,152.58,197.35,153.47,68.329,42.647,38.328,34.388,29.64,66.152,172.42,204.14
30,"ZP_00516049 CwatDRAFT_3958 DNA-directed RNA polymerase, beta subunit [Crocosphaera watsonii WH 8501]",638431320,124 kDa,,60.024,80.201,77.393,82.894,71.926,87.482,77.568,75.463,69.501,83.191,82.69,81.854
31,ZP_00516458 CwatDRAFT_3080 Glucose-6-phosphate dehydrogenase [Crocosphaera watsonii WH 8501],638431745,61 kDa,,61.96,67.487,76.425,56.009,80.317,85.295,79.393,92.657,70.523,84.193,79.171,82.84
32,ZP_00518229 CwatDRAFT_1063 Phycobilisome linker polypeptide:Phycobilisome protein [Crocosphaera watsonii WH 8501],638433519,101 kDa,,97.78,101.72,102.55,80.653,85.112,83.108,75.743,83.105,88.92,89.204,77.412,87.771
33,ZP_00514264 CwatDRAFT_5271 Glutamine synthetase type I [Crocosphaera watsonii WH 8501],638429523,53 kDa,,110.37,76.289,89.001,97.456,86.311,86.388,93.081,92.657,71.545,79.182,84.449,75.937
34,ZP_00516112 CwatDRAFT_3782 Transaldolase AB [Crocosphaera watsonii WH 8501],638431397,43 kDa,,60.024,33.254,34.827,48.168,87.51,92.95,117.72,130.87,105.27,113.26,58.939,38.461
35,"ZP_00514003 CwatDRAFT_6289 ATP synthase F1, alpha subunit [Crocosphaera watsonii WH 8501]",638429260,54 kDa,,141.35,99.763,71.588,80.653,80.317,75.453,76.655,66.866,77.678,83.191,79.171,53.254
36,ZP_00517865 CwatDRAFT_1905 SecA protein [Crocosphaera watsonii WH 8501],638433152,107 kDa,,38.725,66.508,80.295,51.529,56.342,60.144,72.092,70.687,54.17,61.14,79.171,76.923
37,ZP_00516459 CwatDRAFT_3081 OpcA [Crocosphaera watsonii WH 8501],638431746,50 kDa,,73.577,51.837,57.077,72.812,83.913,77.64,85.781,85.015,85.854,69.159,65.976,46.351
38,ZP_00514680 CwatDRAFT_5524 Phosphoglycerate kinase [Crocosphaera watsonii WH 8501],638429942,42 kDa,,116.17,95.85,103.51,85.134,77.92,82.014,94.906,98.388,83.81,86.198,104.68,110.45
39,ZP_00518084 CwatDRAFT_1219 Glucose-1-phosphate adenylyltransferase [Crocosphaera watsonii WH 8501],638433369,48 kDa,,52.279,49.881,58.044,60.49,40.758,45.928,58.404,52.538,41.905,41.094,58.059,46.351
40,ZP_00514960 CwatDRAFT_5181 S-adenosyl-L-homocysteine hydrolase [Crocosphaera watsonii WH 8501],638430223,46 kDa,,60.992,44.013,65.784,63.851,40.758,39.367,57.491,66.866,48.037,50.115,64.217,62.13
41,ZP_00519306 CwatDRAFT_0061 hypothetical protein [Crocosphaera watsonii WH 8501],638434596,27 kDa,,142.31,30.32,12.576,23.524,282.91,148.72,98.557,87.881,393.5,192.44,16.714,8.8757
42,ZP_00517777 CwatDRAFT_1484 Ribosomal protein L7/L12 [Crocosphaera watsonii WH 8501],638433059,14 kDa,,44.534,21.517,17.413,14.562,57.541,30.619,13.688,12.418,62.346,47.108,11.436,8.8757
43,ZP_00516816 CwatDRAFT_2716 Ribulose-bisphosphate carboxylase [Crocosphaera watsonii WH 8501],638432099,13 kDa,,87.131,131.06,97.708,119.86,37.162,45.928,66.617,80.239,49.06,56.129,80.931,92.702
44,ZP_00516246 CwatDRAFT_3658 Oxidoreductase FAD/NAD(P)-binding:CpcD phycobilisome linker-like [Crocosphaera watsonii WH 8501],638431519,46 kDa,,79.386,57.706,49.338,57.129,65.932,79.827,73.918,66.866,69.501,75.172,52.781,52.268
45,ZP_00518838 CwatDRAFT_0975 Chaperonin Cpn10 [Crocosphaera watsonii WH 8501],638434129,11 kDa,,81.322,101.72,48.37,91.855,161.83,104.98,93.081,75.463,216.68,125.29,59.818,41.42
46,ZP_00518984 CwatDRAFT_0550 5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase [Crocosphaera watsonii WH 8501],638434273,88 kDa,,76.482,78.245,85.132,64.971,51.547,48.115,41.065,48.717,43.949,59.136,76.532,83.826
47,ZP_00514295 CwatDRAFT_5293 microcompartments protein [Crocosphaera watsonii WH 8501],638429554,11 kDa,TRUE,92.94,89.004,62.881,77.293,93.503,75.453,52.016,50.627,99.141,100.23,61.578,56.213
48,"ZP_00518407 CwatDRAFT_0980 Glyceraldehyde-3-phosphate dehydrogenase, type I [Crocosphaera watsonii WH 8501]",638433693,36 kDa,,110.37,74.333,97.708,77.293,67.131,63.424,52.016,58.269,50.082,68.156,87.088,95.66
49,ZP_00514296 CwatDRAFT_5294 microcompartments protein [Crocosphaera watsonii WH 8501],638429555,12 kDa,TRUE,100.68,67.487,69.653,109.78,106.69,85.295,53.841,60.179,95.053,97.223,69.495,70.019
50,"ZP_00516705 CwatDRAFT_3012 DNA gyrase, subunit A [Crocosphaera watsonii WH 8501]",638431975,95 kDa,TRUE,62.928,36.188,34.827,31.365,27.572,28.432,29.202,36.299,32.706,43.099,43.984,46.351
51,ZP_00517555 CwatDRAFT_2370 Conserved hypothetical protein 103 [Crocosphaera watsonii WH 8501],638432839,13 kDa,,85.195,75.311,48.37,73.932,104.29,82.014,63.879,70.687,135.94,96.221,68.615,59.171
52,ZP_00516495 CwatDRAFT_3258 Photosystem II protein [Crocosphaera watsonii WH 8501],638431784,37 kDa,,24.203,31.298,29.022,31.365,27.572,75.453,110.42,105.08,67.457,60.138,50.142,38.461
53,"ZP_00513575 CwatDRAFT_6726 DNA gyrase, B subunit [Crocosphaera watsonii WH 8501]",638428829,72 kDa,,32.916,38.145,54.175,35.846,29.969,33.899,45.628,46.806,38.839,49.113,58.059,61.144
54,"ZP_00514499 CwatDRAFT_5423 Glutathione reductase, plant [Crocosphaera watsonii WH 8501]",638429759,49 kDa,,31.948,34.232,36.761,41.447,32.367,41.554,44.716,43.94,25.552,30.069,36.067,37.475
55,ZP_00514443 CwatDRAFT_5390 Glucose-methanol-choline oxidoreductase [Crocosphaera watsonii WH 8501],638429703,56 kDa,,14.522,32.276,35.794,45.928,43.155,43.741,50.191,52.538,29.64,34.078,46.623,43.392
56,ZP_00516537 CwatDRAFT_3414 RNA binding S1 [Crocosphaera watsonii WH 8501],638431804,38 kDa,,74.546,41.079,46.436,41.447,57.541,49.209,45.628,44.896,59.28,49.113,45.743,46.351
57,ZP_00515383 CwatDRAFT_4858 Manganese-stabilizing protein/photosystem II polypeptide [Crocosphaera watsonii WH 8501],638430496,30 kDa,,46.47,70.421,78.36,75.052,94.702,97.324,65.704,74.508,82.788,72.165,74.773,69.033
58,ZP_00515804 CwatDRAFT_4200 Elongation factor Ts [Crocosphaera watsonii WH 8501],638431091,27 kDa,,58.087,50.859,54.175,38.086,45.553,33.899,43.803,40.12,67.457,66.152,49.262,40.434
59,ZP_00519089 CwatDRAFT_0464 Argininosuccinate synthase [Crocosphaera watsonii WH 8501],638434374,44 kDa,,54.215,45.969,57.077,44.807,68.329,72.173,86.693,78.329,67.457,76.175,67.735,68.047
60,"ZP_00514665 CwatDRAFT_5742 Carbamoyl-phosphate synthase, large subunit, glutamine-dependent [Crocosphaera watsonii WH 8501]",638429927,119 kDa,,17.426,37.166,42.566,31.365,39.559,38.273,45.628,42.985,32.706,38.087,40.465,38.461
61,"ZP_00515759 CwatDRAFT_4291 Flavodoxin, long chain [Crocosphaera watsonii WH 8501]",638430995,20 kDa,,117.14,17.605,8.7067,8.9615,25.174,52.489,83.043,111.76,143.09,75.172,24.631,10.848
62,ZP_00514298 CwatDRAFT_5296 Carbonate dehydratase [Crocosphaera watsonii WH 8501],638429557,73 kDa,,53.247,66.508,69.653,77.293,53.944,63.424,58.404,57.314,50.082,61.14,73.013,91.716
63,ZP_00519311 CwatDRAFT_0123 Photosystem II protein [Crocosphaera watsonii WH 8501],638434600,56 kDa,,143.28,81.179,84.164,84.014,59.938,63.424,60.229,59.224,58.258,64.147,73.893,93.688
64,ZP_00516641 CwatDRAFT_3141 Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen [Crocosphaera watsonii WH 8501],638431930,21 kDa,,141.35,35.21,47.403,45.928,40.758,41.554,41.978,37.254,35.773,45.103,38.706,36.489
65,ZP_00517428 CwatDRAFT_2319 Fructose-bisphosphate aldolase [Crocosphaera watsonii WH 8501],638432701,38 kDa,,126.82,49.881,60.947,53.769,53.944,61.237,68.442,67.821,64.391,68.156,50.142,55.227
66,ZP_00515262 CwatDRAFT_4730 Acetohydroxy acid isomeroreductase [Crocosphaera watsonii WH 8501],638430576,36 kDa,,41.629,47.925,56.11,58.25,41.957,47.022,60.229,51.582,43.949,44.101,49.262,48.323
67,ZP_00517772 CwatDRAFT_2138 Peptidylprolyl isomerase [Crocosphaera watsonii WH 8501],638433045,19 kDa,,41.629,51.837,43.533,58.25,68.329,60.144,51.103,51.582,69.501,58.133,43.104,57.199
68,ZP_00513714 CwatDRAFT_6652 Aconitate hydratase 2 [Crocosphaera watsonii WH 8501],638428969,95 kDa,,10.649,18.583,19.348,19.043,21.578,28.432,31.027,27.702,21.464,23.053,21.112,24.655
69,ZP_00517035 CwatDRAFT_2401 DNA-directed RNA polymerase [Crocosphaera watsonii WH 8501],638432314,35 kDa,,41.629,44.013,45.468,42.567,49.149,51.396,40.153,46.806,54.17,47.108,43.104,43.392
70,"ZP_00516779 CwatDRAFT_2882 Glycosyl transferase, group 1 [Crocosphaera watsonii WH 8501]",638432043,40 kDa,,0,0.97807,0,1.1202,0,1.0935,0,0.95523,0,0,2.639,1.9724
71,ZP_00518338 CwatDRAFT_1513 Enolase [Crocosphaera watsonii WH 8501],638433620,46 kDa,,57.119,47.925,55.142,67.211,59.938,72.173,57.491,67.821,70.523,72.165,63.337,57.199
72,ZP_00516386 CwatDRAFT_3818 Nitrogenase iron protein [Crocosphaera watsonii WH 8501],638431669,32 kDa,,21.299,24.452,15.479,11.202,37.162,51.396,60.229,85.97,78.7,45.103,30.789,19.724
73,ZP_00516278 CwatDRAFT_3616 Serine--glyoxylate transaminase [Crocosphaera watsonii WH 8501],638431543,41 kDa,,67.769,44.013,31.924,40.327,47.95,45.928,32.852,34.388,34.75,55.126,32.548,30.572
74,"ZP_00517435 CwatDRAFT_2328 AAA ATPase, central region:Clp, N terminal:Clp, N terminal [Crocosphaera watsonii WH 8501]",638432717,99 kDa,TRUE,38.725,38.145,36.761,25.764,23.975,28.432,23.727,21.97,26.574,32.074,36.947,40.434
75,ZP_00515163 CwatDRAFT_5077 Glycine hydroxymethyltransferase [Crocosphaera watsonii WH 8501],638430428,46 kDa,,81.322,55.75,48.37,50.408,51.547,54.676,54.754,58.269,54.17,47.108,53.661,44.379
76,ZP_00517178 CwatDRAFT_2598 Phosphoribulokinase/uridine kinase [Crocosphaera watsonii WH 8501],638432457,32 kDa,,44.534,64.552,78.36,63.851,34.764,22.964,20.989,21.015,20.441,31.071,65.976,76.923
77,ZP_00515252 CwatDRAFT_4717 Glutathione peroxidase [Crocosphaera watsonii WH 8501],638430552,17 kDa,,76.482,40.101,40.631,32.485,46.752,40.46,36.502,38.209,45.993,46.106,36.947,32.544
78,ZP_00515337 CwatDRAFT_4808 IMP dehydrogenase related 2 [Crocosphaera watsonii WH 8501],638430593,40 kDa,,88.099,69.443,64.816,76.173,63.534,72.173,67.53,70.687,54.17,59.136,65.096,61.144
79,ZP_00518803 CwatDRAFT_1519 Transcriptional regulator AbrB [Crocosphaera watsonii WH 8501],638434092,17 kDa,,38.725,49.881,52.24,64.971,58.739,55.77,65.704,56.358,61.324,50.115,56.3,57.199
80,ZP_00517273 CwatDRAFT_2983 hypothetical protein [Crocosphaera watsonii WH 8501],638432543,18 kDa,Ni dependent superoxide dismutase,33.884,26.408,30.957,25.764,16.783,26.245,34.677,29.612,18.397,28.064,29.029,30.572
81,ZP_00517175 CwatDRAFT_2913 Glutamyl-tRNA(Gln) amidotransferase B subunit [Crocosphaera watsonii WH 8501],638432445,55 kDa,,9.6812,30.32,30.957,39.207,37.162,41.554,40.153,42.03,40.883,39.09,41.345,45.365
82,ZP_00514196 CwatDRAFT_6395 D-3-phosphoglycerate dehydrogenase [Crocosphaera watsonii WH 8501],638429454,57 kDa,,54.215,26.408,29.99,26.884,32.367,37.18,32.852,43.94,30.662,33.076,31.668,36.489
83,ZP_00517874 CwatDRAFT_1917 hypothetical protein [Crocosphaera watsonii WH 8501],638433154,10 kDa,,54.215,48.903,34.827,31.365,70.727,55.77,41.978,39.164,57.236,44.101,36.947,36.489
84,ZP_00517225 CwatDRAFT_2700 Initiation factor 2:Small GTP-binding protein domain [Crocosphaera watsonii WH 8501],638432504,110 kDa,,23.235,29.342,40.631,29.125,32.367,64.518,48.366,45.851,43.949,51.117,35.187,40.434
85,ZP_00518006 CwatDRAFT_1746 ATP-sulfurylase [Crocosphaera watsonii WH 8501],638433288,44 kDa,,23.235,28.364,30.957,22.404,17.981,17.496,23.727,24.836,11.243,24.055,28.15,26.627
86,ZP_00514515 CwatDRAFT_5829 conserved hypothetical protein [Crocosphaera watsonii WH 8501],638429775,48 kDa,,5.8087,4.8903,3.8696,3.3606,1.1988,1.0935,2.7377,3.8209,3.0662,5.0115,4.3984,2.9586
87,ZP_00516388 CwatDRAFT_3820 Nitrogenase molybdenum-iron protein beta chain [Crocosphaera watsonii WH 8501],638431671,57 kDa,,5.8087,0.97807,0,1.1202,31.168,83.108,118.63,139.46,72.567,22.051,2.639,1.9724
88,"ZP_00514038 CwatDRAFT_6305 Glycoside hydrolase, family 77 [Crocosphaera watsonii WH 8501]",638429295,58 kDa,,33.884,27.386,46.436,42.567,33.565,38.273,41.978,48.717,34.75,36.083,44.864,49.309
89,"ZP_00516244 CwatDRAFT_3711 Heat shock protein Hsp90:ATP-binding region, ATPase-like [Crocosphaera watsonii WH 8501]",638431488,76 kDa,,21.299,31.298,28.055,28.005,19.18,32.806,35.59,38.209,33.728,32.074,32.548,29.586
90,"ZP_00516188 CwatDRAFT_3636 Leucyl-tRNA synthetase bacterial/mitochondrial, class Ia [Crocosphaera watsonii WH 8501]",638431469,97 kDa,,11.617,19.561,32.892,32.485,19.18,36.086,35.59,33.433,21.464,25.057,36.067,41.42
91,ZP_00516289 CwatDRAFT_3464 Porphobilinogen synthase [Crocosphaera watsonii WH 8501],638431571,36 kDa,,10.649,25.43,33.859,38.086,27.572,36.086,40.153,38.209,30.662,35.08,38.706,39.448
92,"ZP_00515803 CwatDRAFT_4199 Ribosomal protein S2, bacterial and organelle form [Crocosphaera watsonii WH 8501]",638431092,31 kDa,,32.916,46.947,39.664,44.807,35.963,32.806,32.852,34.388,28.618,29.067,36.947,45.365
93,"ZP_00517910 CwatDRAFT_2178 Glycosyl transferase, group 1 [Crocosphaera watsonii WH 8501]",638433195,58 kDa,,34.852,49.881,19.348,52.649,46.752,54.676,31.027,26.746,51.104,54.124,31.668,21.696
94,ZP_00514464 CwatDRAFT_5852 S-adenosylmethionine synthetase [Crocosphaera watsonii WH 8501],638429724,45 kDa,,46.47,65.53,56.11,67.211,61.137,59.05,60.229,55.403,32.706,36.083,53.661,65.088
95,ZP_00517026 CwatDRAFT_2392 Ribosomal protein L6 [Crocosphaera watsonii WH 8501],638432305,19 kDa,,15.49,42.057,59.012,40.327,33.565,48.115,59.317,48.717,32.706,42.096,39.586,54.24
96,ZP_00519242 CwatDRAFT_0143 Photosynthetic reaction centre protein 44 kDa subunit [Crocosphaera watsonii WH 8501],638434531,50 kDa,,60.992,43.035,47.403,52.649,45.553,44.835,41.065,39.164,31.684,45.103,47.503,65.088
97,"ZP_00516626 CwatDRAFT_3447 Transketolase, central region [Crocosphaera watsonii WH 8501]",638431885,79 kDa,,25.171,38.145,44.501,48.168,37.162,49.209,43.803,40.12,34.75,39.09,52.781,53.254
98,ZP_00518087 CwatDRAFT_1223 Photosystem I psaB [Crocosphaera watsonii WH 8501],638433372,82 kDa,,70.673,22.496,31.924,22.404,29.969,26.245,20.989,23.881,28.618,38.087,29.909,27.613
99,ZP_00513515 CwatDRAFT_6747 PspA/IM30 [Crocosphaera watsonii WH 8501],638428768,28 kDa,,18.394,24.452,43.533,45.928,57.541,49.209,44.716,41.075,59.28,59.136,46.623,45.365
100,ZP_00517925 CwatDRAFT_1669 Protein splicing (intein) site:Phosphoenolpyruvate synthase [Crocosphaera watsonii WH 8501],638433213,137 kDa,,2.9044,13.693,5.8044,6.7211,7.1926,6.5611,3.6502,6.6866,7.1545,10.023,7.9171,7.8895
101,ZP_00517955 CwatDRAFT_1931 NAD(P)(+) transhydrogenase (AB-specific) [Crocosphaera watsonii WH 8501],638433235,41 kDa,,12.586,7.8245,7.7393,8.9615,23.975,34.993,44.716,48.717,41.905,29.067,12.316,5.9171
102,ZP_00517449 CwatDRAFT_2347 Peptidylprolyl isomerase [Crocosphaera watsonii WH 8501],638432720,19 kDa,,38.725,36.188,33.859,35.846,39.559,36.086,31.027,33.433,37.817,34.078,33.428,30.572
103,ZP_00514491 CwatDRAFT_5417 Glutamate synthase (NADPH) [Crocosphaera watsonii WH 8501],638429751,170 kDa,,5.8087,15.649,14.511,20.163,28.77,28.432,34.677,36.299,24.53,23.053,22.872,17.751
104,ZP_00514335 CwatDRAFT_5320 Heat shock protein Hsp70 [Crocosphaera watsonii WH 8501],638429594,84 kDa,TRUE,14.522,24.452,27.087,22.404,29.969,31.712,40.153,34.388,38.839,32.074,32.548,40.434
105,ZP_00518419 CwatDRAFT_0658 Phycobilisome linker polypeptide:CpcD phycobilisome linker-like [Crocosphaera watsonii WH 8501],638433706,29 kDa,TRUE,36.789,38.145,47.403,43.687,47.95,44.835,47.453,51.582,43.949,52.119,40.465,51.282
106,"ZP_00516571 CwatDRAFT_3355 HEAT:Peptidase M1, membrane alanine aminopeptidase:PBS lyase HEAT-like repeat [Crocosphaera watsonii WH 8501]",638431830,98 kDa,,7.745,16.627,15.479,15.683,11.988,18.59,12.776,13.373,13.287,15.034,16.714,17.751
107,"ZP_00516387 CwatDRAFT_3819 Nitrogenase molybdenum-iron protein alpha chain:Nitrogenase component I, alpha chain [Crocosphaera watsonii WH 8501]",638431670,54 kDa,,0,0,0,0,3.5963,27.338,66.617,78.329,35.773,6.0138,0.87968,0
108,ZP_00516227 CwatDRAFT_3693 Photosystem I protein PsaD [Crocosphaera watsonii WH 8501],638431511,16 kDa,,33.884,38.145,40.631,42.567,57.541,36.086,27.377,19.105,32.706,41.094,29.029,23.669
109,ZP_00517055 CwatDRAFT_2439 Ribosomal protein L3 [Crocosphaera watsonii WH 8501],638432345,23 kDa,,72.609,42.057,48.37,63.851,37.162,55.77,65.704,64,41.905,43.099,54.54,50.296
110,ZP_00516750 CwatDRAFT_3315 RNA-binding region RNP-1  (RNA recognition motif) [Crocosphaera watsonii WH 8501],638432034,11 kDa,,26.139,18.583,22.25,24.644,38.36,36.086,23.727,25.791,58.258,33.076,21.112,20.71
111,ZP_00515704 CwatDRAFT_4373 CobN/magnesium chelatase [Crocosphaera watsonii WH 8501],638430972,149 kDa,,7.745,15.649,8.7067,2.2404,1.1988,1.0935,4.5628,12.418,17.375,19.044,21.992,13.807
112,ZP_00514286 CwatDRAFT_5287 sulfolipid biosynthesis protein [Crocosphaera watsonii WH 8501],638429545,43 kDa,,27.107,29.342,43.533,34.726,25.174,27.338,25.552,25.791,29.64,30.069,31.668,28.599
113,ZP_00517024 CwatDRAFT_2390 Ribosomal protein L5:Ribosomal protein L5 [Crocosphaera watsonii WH 8501],638432303,20 kDa,,46.47,32.276,36.761,49.288,37.162,44.835,36.502,36.299,44.971,40.092,38.706,45.365
114,"ZP_00515232 CwatDRAFT_4693 Ribosomal protein S7, bacterial and organelle form [Crocosphaera watsonii WH 8501]",638430519,18 kDa,,18.394,34.232,36.761,38.086,39.559,45.928,45.628,42.985,34.75,36.083,35.187,31.558
115,ZP_00517860 CwatDRAFT_1600 Citrate (Si)-synthase [Crocosphaera watsonii WH 8501],638433143,42 kDa,,17.426,28.364,29.022,21.284,20.379,20.777,36.502,34.388,24.53,33.076,27.27,30.572
116,ZP_00516240 CwatDRAFT_3706 similar to Nucleoside-diphosphate-sugar epimerases [Crocosphaera watsonii WH 8501],638431492,35 kDa,,19.362,30.32,35.794,42.567,34.764,36.086,34.677,34.388,27.596,37.085,36.067,38.461
117,ZP_00515542 CwatDRAFT_4620 Transglutaminase-like [Crocosphaera watsonii WH 8501],638430738,64 kDa,,9.6812,12.715,14.511,15.683,10.789,14.216,25.552,18.149,5.1104,13.03,16.714,16.765
118,ZP_00517866 CwatDRAFT_1906 Single-strand binding protein [Crocosphaera watsonii WH 8501],638433155,17 kDa,,32.916,18.583,14.511,11.202,17.981,12.029,16.426,10.508,17.375,16.037,16.714,11.834
119,ZP_00518225 CwatDRAFT_1057 Thioredoxin [Crocosphaera watsonii WH 8501],638433511,12 kDa,,64.864,44.013,43.533,53.769,63.534,50.302,54.754,46.806,54.17,62.142,44.864,48.323
