GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	Q4BU94	CwatDRAFT_0091	involved_in	GO:0006750	glutathione biosynthetic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0317	165597	UniProt		P
UniProtKB	Q4BU94	CwatDRAFT_0091	enables	GO:0036374	glutathione hydrolase activity	ECO:0000501	IEA	GO_REF:0000003	EC:3.4.19.13	165597	UniProt		F
UniProtKB	Q4BU94	CwatDRAFT_0091	enables	GO:0102953	hypoglycin A gamma-glutamyl transpeptidase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.3.2.2	165597	UniProt		F
UniProtKB	Q4BU94	CwatDRAFT_0091	enables	GO:0103068	leukotriene C4 gamma-glutamyl transferase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.3.2.2	165597	UniProt		F
UniProtKB	Q4BU94	CwatDRAFT_0091	enables	GO:0036374	glutathione hydrolase activity	ECO:0000256	IEA	GO_REF:0000116	RHEA:28807	165597	RHEA		F
UniProtKB	Q4BU94	CwatDRAFT_0091	involved_in	GO:0006751	glutathione catabolic process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001504794	165597	UniProt		P
UniProtKB	Q4BU94	CwatDRAFT_0091	enables	GO:0036374	glutathione hydrolase activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001504794	165597	UniProt		F
UniProtKB	Q4BU94	CwatDRAFT_0091	involved_in	GO:0006508	proteolysis	ECO:0000366	IEA	GO_REF:0000108	GO:0036374	165597	GOC		P
UniProtKB	Q4BU94	CwatDRAFT_0091	involved_in	GO:0006508	proteolysis	ECO:0000366	IEA	GO_REF:0000108	GO:0036374	165597	GOC		P
UniProtKB	Q4BU94	CwatDRAFT_0091	involved_in	GO:0006508	proteolysis	ECO:0000366	IEA	GO_REF:0000108	GO:0036374	165597	GOC		P
UniProtKB	Q4BU94	CwatDRAFT_0091	involved_in	GO:0006508	proteolysis	ECO:0000366	IEA	GO_REF:0000108	GO:0036374	165597	GOC		P
UniProtKB	Q4BU94	CwatDRAFT_0091	involved_in	GO:0006749	glutathione metabolic process	ECO:0000322	IEA	GO_REF:0000041	UniPathway:UPA00204	165597	UniProt		P
UniProtKB	Q4BUA2	CwatDRAFT_0031	enables	GO:0003677	DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010982|InterPro:IPR013430	165597	InterPro		F
UniProtKB	Q4BUA3	CwatDRAFT_0032	enables	GO:0016301	kinase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002139	165597	InterPro		F
UniProtKB	Q4BUA3	CwatDRAFT_0032	enables	GO:0016773	phosphotransferase activity, alcohol group as acceptor	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002173	165597	InterPro		F
UniProtKB	Q4BUA3	CwatDRAFT_0032	enables	GO:0016301	kinase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0418	165597	UniProt		F
UniProtKB	Q4BUA3	CwatDRAFT_0032	involved_in	GO:0016310	phosphorylation	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0418	165597	UniProt		P
UniProtKB	Q4BUA3	CwatDRAFT_0032	enables	GO:0016740	transferase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0808	165597	UniProt		F
UniProtKB	Q4BUA3	CwatDRAFT_0032	involved_in	GO:0016310	phosphorylation	ECO:0000501	IEA	GO_REF:0000117	ARBA:ARBA00024407	165597	UniProt		P
UniProtKB	Q4BUA3	CwatDRAFT_0032	enables	GO:0016772	transferase activity, transferring phosphorus-containing groups	ECO:0000501	IEA	GO_REF:0000117	ARBA:ARBA00025934	165597	UniProt		F
UniProtKB	Q4BUA9	CwatDRAFT_0197	involved_in	GO:0006313	transposition, DNA-mediated	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002559	165597	InterPro		P
UniProtKB	Q4BUA9	CwatDRAFT_0197	enables	GO:0004803	transposase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002559	165597	InterPro		F
UniProtKB	Q4BUA9	CwatDRAFT_0197	enables	GO:0003677	DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002559	165597	InterPro		F
UniProtKB	Q4BUB0	CwatDRAFT_0198	involved_in	GO:0006313	transposition, DNA-mediated	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002559	165597	InterPro		P
UniProtKB	Q4BUB0	CwatDRAFT_0198	enables	GO:0004803	transposase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002559	165597	InterPro		F
UniProtKB	Q4BUB0	CwatDRAFT_0198	enables	GO:0003677	DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002559	165597	InterPro		F
UniProtKB	Q4BUB3	CwatDRAFT_0104	enables	GO:0005242	inward rectifier potassium channel activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016449	165597	InterPro		F
UniProtKB	Q4BUB3	CwatDRAFT_0104	located_in	GO:0016021	integral component of membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016449	165597	InterPro		C
UniProtKB	Q4BUB3	CwatDRAFT_0104	involved_in	GO:0006813	potassium ion transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016449	165597	InterPro		P
UniProtKB	Q4BUB3	CwatDRAFT_0104	enables	GO:0005244	voltage-gated ion channel activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0851	165597	UniProt		F
UniProtKB	Q4BUB3	CwatDRAFT_0104	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	165597	UniProt		C
UniProtKB	Q4BUB3	CwatDRAFT_0104	located_in	GO:0016021	integral component of membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	165597	UniProt		C
UniProtKB	Q4BUB3	CwatDRAFT_0104	involved_in	GO:0006813	potassium ion transport	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0633	165597	UniProt		P
UniProtKB	Q4BUB3	CwatDRAFT_0104	involved_in	GO:0006811	ion transport	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0406	165597	UniProt		P
UniProtKB	Q4BUB3	CwatDRAFT_0104	involved_in	GO:0034765	regulation of ion transmembrane transport	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0851	165597	UniProt		P
UniProtKB	Q4BUB3	CwatDRAFT_0104	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	165597	UniProt		C
UniProtKB	Q4BUB3	CwatDRAFT_0104	involved_in	GO:0034220	ion transmembrane transport	ECO:0000366	IEA	GO_REF:0000108	GO:0005244	165597	GOC		P
UniProtKB	Q4BUB3	CwatDRAFT_0104	involved_in	GO:0071805	potassium ion transmembrane transport	ECO:0000366	IEA	GO_REF:0000108	GO:0005242	165597	GOC		P
UniProtKB	Q4BUB7	CwatDRAFT_0080	enables	GO:0005242	inward rectifier potassium channel activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016449	165597	InterPro		F
UniProtKB	Q4BUB7	CwatDRAFT_0080	located_in	GO:0016021	integral component of membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016449	165597	InterPro		C
UniProtKB	Q4BUB7	CwatDRAFT_0080	involved_in	GO:0006813	potassium ion transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016449	165597	InterPro		P
UniProtKB	Q4BUB7	CwatDRAFT_0080	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	165597	UniProt		C
UniProtKB	Q4BUB7	CwatDRAFT_0080	located_in	GO:0016021	integral component of membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	165597	UniProt		C
UniProtKB	Q4BUB7	CwatDRAFT_0080	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	165597	UniProt		C
UniProtKB	Q4BUB7	CwatDRAFT_0080	involved_in	GO:0071805	potassium ion transmembrane transport	ECO:0000366	IEA	GO_REF:0000108	GO:0005242	165597	GOC		P
UniProtKB	Q4BUC0	CwatDRAFT_0025	enables	GO:0016168	chlorophyll binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000932|InterPro:IPR036001	165597	InterPro		F
UniProtKB	Q4BUC0	CwatDRAFT_0025	involved_in	GO:0019684	photosynthesis, light reaction	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000932|InterPro:IPR036001	165597	InterPro		P
UniProtKB	Q4BUC0	CwatDRAFT_0025	located_in	GO:0016020	membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000932|InterPro:IPR036001	165597	InterPro		C
UniProtKB	Q4BUC0	CwatDRAFT_0025	involved_in	GO:0009767	photosynthetic electron transport chain	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000932|InterPro:IPR036001	165597	InterPro		P
UniProtKB	Q4BUC0	CwatDRAFT_0025	part_of	GO:0009521	photosystem	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000932|InterPro:IPR036001	165597	InterPro		C
UniProtKB	Q4BUC0	CwatDRAFT_0025	enables	GO:0016168	chlorophyll binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0148	165597	UniProt		F
UniProtKB	Q4BUC0	CwatDRAFT_0025	involved_in	GO:0018298	protein-chromophore linkage	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0157	165597	UniProt		P
UniProtKB	Q4BUC0	CwatDRAFT_0025	involved_in	GO:0015979	photosynthesis	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	165597	UniProt		P
UniProtKB	Q4BUC0	CwatDRAFT_0025	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	165597	UniProt		C
UniProtKB	Q4BUC0	CwatDRAFT_0025	located_in	GO:0016021	integral component of membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	165597	UniProt		C
UniProtKB	Q4BUC0	CwatDRAFT_0025	located_in	GO:0031676	plasma membrane-derived thylakoid membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0045	165597	UniProt		C
UniProtKB	Q4BUC0	CwatDRAFT_0025	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	165597	UniProt		C
UniProtKB	Q4BUC0	CwatDRAFT_0025	located_in	GO:0005737	cytoplasm	ECO:0000501	IEA	GO_REF:0000117	ARBA:ARBA00024689	165597	UniProt		C
UniProtKB	Q4BUC0	CwatDRAFT_0025	located_in	GO:0043229	intracellular organelle	ECO:0000501	IEA	GO_REF:0000117	ARBA:ARBA00027341	165597	UniProt		C
UniProtKB	Q4BUC1	CwatDRAFT_0024	enables	GO:0016168	chlorophyll binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000932|InterPro:IPR036001	165597	InterPro		F
UniProtKB	Q4BUC1	CwatDRAFT_0024	involved_in	GO:0019684	photosynthesis, light reaction	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000932|InterPro:IPR036001	165597	InterPro		P
UniProtKB	Q4BUC1	CwatDRAFT_0024	located_in	GO:0016020	membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000932|InterPro:IPR036001	165597	InterPro		C
UniProtKB	Q4BUC1	CwatDRAFT_0024	involved_in	GO:0009767	photosynthetic electron transport chain	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000932|InterPro:IPR036001	165597	InterPro		P
UniProtKB	Q4BUC1	CwatDRAFT_0024	part_of	GO:0009521	photosystem	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000932|InterPro:IPR036001	165597	InterPro		C
UniProtKB	Q4BUC1	CwatDRAFT_0024	enables	GO:0016168	chlorophyll binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0148	165597	UniProt		F
UniProtKB	Q4BUC1	CwatDRAFT_0024	involved_in	GO:0018298	protein-chromophore linkage	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0157	165597	UniProt		P
UniProtKB	Q4BUC1	CwatDRAFT_0024	involved_in	GO:0015979	photosynthesis	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	165597	UniProt		P
UniProtKB	Q4BUC1	CwatDRAFT_0024	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	165597	UniProt		C
UniProtKB	Q4BUC1	CwatDRAFT_0024	located_in	GO:0016021	integral component of membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	165597	UniProt		C
UniProtKB	Q4BUC1	CwatDRAFT_0024	located_in	GO:0031676	plasma membrane-derived thylakoid membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0045	165597	UniProt		C
UniProtKB	Q4BUC1	CwatDRAFT_0024	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	165597	UniProt		C
UniProtKB	Q4BUC1	CwatDRAFT_0024	located_in	GO:0005737	cytoplasm	ECO:0000501	IEA	GO_REF:0000117	ARBA:ARBA00024689	165597	UniProt		C
UniProtKB	Q4BUC1	CwatDRAFT_0024	located_in	GO:0043229	intracellular organelle	ECO:0000501	IEA	GO_REF:0000117	ARBA:ARBA00027341	165597	UniProt		C
UniProtKB	Q4BUC2	CwatDRAFT_0179	enables	GO:0003676	nucleic acid binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR036397	165597	InterPro		F
UniProtKB	Q4BUC3	CwatDRAFT_0178	enables	GO:0008236	serine-type peptidase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000209	165597	InterPro		F
UniProtKB	Q4BUC3	CwatDRAFT_0178	involved_in	GO:0006508	proteolysis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000209|InterPro:IPR036852	165597	InterPro		P
UniProtKB	Q4BUC3	CwatDRAFT_0178	enables	GO:0004252	serine-type endopeptidase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR036852	165597	InterPro		F
UniProtKB	Q4BUC3	CwatDRAFT_0178	enables	GO:0008233	peptidase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0645	165597	UniProt		F
UniProtKB	Q4BUC3	CwatDRAFT_0178	enables	GO:0008236	serine-type peptidase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0720	165597	UniProt		F
UniProtKB	Q4BUC3	CwatDRAFT_0178	enables	GO:0016787	hydrolase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	165597	UniProt		F
UniProtKB	Q4BUC3	CwatDRAFT_0178	involved_in	GO:0006508	proteolysis	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0645	165597	UniProt		P
UniProtKB	Q4BUC6	CwatDRAFT_0006	enables	GO:0005524	ATP binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003959|InterPro:IPR003960|InterPro:IPR011546	165597	InterPro		F
UniProtKB	Q4BUC6	CwatDRAFT_0006	located_in	GO:0016021	integral component of membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011546	165597	InterPro		C
UniProtKB	Q4BUC6	CwatDRAFT_0006	enables	GO:0008270	zinc ion binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011546	165597	InterPro		F
UniProtKB	Q4BUC6	CwatDRAFT_0006	enables	GO:0016887	ATP hydrolysis activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003959|InterPro:IPR003960	165597	InterPro		F
UniProtKB	Q4BUC6	CwatDRAFT_0006	enables	GO:0004176	ATP-dependent peptidase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011546	165597	InterPro		F
UniProtKB	Q4BUC6	CwatDRAFT_0006	enables	GO:0004222	metalloendopeptidase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011546	165597	InterPro		F
UniProtKB	Q4BUC6	CwatDRAFT_0006	enables	GO:0005524	ATP binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	165597	UniProt		F
UniProtKB	Q4BUC6	CwatDRAFT_0006	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	165597	UniProt		C
UniProtKB	Q4BUC6	CwatDRAFT_0006	located_in	GO:0016021	integral component of membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	165597	UniProt		C
UniProtKB	Q4BUC6	CwatDRAFT_0006	enables	GO:0000166	nucleotide binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	165597	UniProt		F
UniProtKB	Q4BUC6	CwatDRAFT_0006	involved_in	GO:0006508	proteolysis	ECO:0000366	IEA	GO_REF:0000108	GO:0004222	165597	GOC		P
UniProtKB	Q4BUC9	CwatDRAFT_0171	part_of	GO:0030076	light-harvesting complex	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0042	165597	UniProt		C
UniProtKB	Q4BUC9	CwatDRAFT_0171	part_of	GO:0030089	phycobilisome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0605	165597	UniProt		C
UniProtKB	Q4BUD0	CwatDRAFT_0167	involved_in	GO:0006313	transposition, DNA-mediated	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002559	165597	InterPro		P
UniProtKB	Q4BUD0	CwatDRAFT_0167	enables	GO:0004803	transposase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002559	165597	InterPro		F
UniProtKB	Q4BUD0	CwatDRAFT_0167	enables	GO:0003677	DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002559	165597	InterPro		F
UniProtKB	Q4BUD2	CwatDRAFT_0139	located_in	GO:0016020	membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000515	165597	InterPro		C
UniProtKB	Q4BUD2	CwatDRAFT_0139	involved_in	GO:0055085	transmembrane transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000515	165597	InterPro		P
UniProtKB	Q4BUD2	CwatDRAFT_0139	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	165597	UniProt		C
UniProtKB	Q4BUD2	CwatDRAFT_0139	located_in	GO:0016021	integral component of membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	165597	UniProt		C
UniProtKB	Q4BUD2	CwatDRAFT_0139	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	165597	UniProt		C
UniProtKB	Q4BUD6	CwatDRAFT_0213	enables	GO:0003676	nucleic acid binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR036397	165597	InterPro		F
UniProtKB	Q4BUE3	CwatDRAFT_0029	enables	GO:0030246	carbohydrate binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR013784	165597	InterPro		F
UniProtKB	Q4BUE3	CwatDRAFT_0029	enables	GO:2001070	starch binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002044	165597	InterPro		F
UniProtKB	Q4BUE3	CwatDRAFT_0029	enables	GO:0016787	hydrolase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	165597	UniProt		F
UniProtKB	Q4BUE4	CwatDRAFT_0277	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	165597	UniProt		C
UniProtKB	Q4BUE4	CwatDRAFT_0277	located_in	GO:0016021	integral component of membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	165597	UniProt		C
UniProtKB	Q4BUE5	CwatDRAFT_0278	enables	GO:0004519	endonuclease activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0255	165597	UniProt		F
UniProtKB	Q4BUE5	CwatDRAFT_0278	enables	GO:0003964	RNA-directed DNA polymerase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0695	165597	UniProt		F
UniProtKB	Q4BUE5	CwatDRAFT_0278	involved_in	GO:0006278	RNA-dependent DNA biosynthetic process	ECO:0000366	IEA	GO_REF:0000108	GO:0003964	165597	GOC		P
UniProtKB	Q4BUE5	CwatDRAFT_0278	involved_in	GO:0090305	nucleic acid phosphodiester bond hydrolysis	ECO:0000366	IEA	GO_REF:0000108	GO:0004519	165597	GOC		P
UniProtKB	Q4BUE7	CwatDRAFT_0059	enables	GO:0003676	nucleic acid binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR036397	165597	InterPro		F
UniProtKB	Q4BUE9	CwatDRAFT_0057	enables	GO:0005525	GTP binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005225|InterPro:IPR006073|InterPro:IPR030389	165597	InterPro		F
UniProtKB	Q4BUF0	CwatDRAFT_0056	enables	GO:0046914	transition metal ion binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR007167	165597	InterPro		F
UniProtKB	Q4BUF6	CwatDRAFT_0200	involved_in	GO:0006313	transposition, DNA-mediated	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002559	165597	InterPro		P
UniProtKB	Q4BUF6	CwatDRAFT_0200	enables	GO:0004803	transposase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002559	165597	InterPro		F
